templates_id,templates_CES,templates_title,templates_content
61,181875,ARLO LIGHTS OFFLINE,  •When was the issue started?<br>  •What is the Serial no. of the device?<br>  •Have you checked the motion detection setting under this Arlo light?<br>  •How far was the Arlo light from the Bridge?from basestation?<br><br>You may perform these troubleshooting steps:<br><br>  •Make sure that your Arlo Security Light’s battery is charged.<br>  •Make sure that your Arlo Security Light is within range of your Arlo Bridge. You can use the range finder test to determine whether your light is close enough to your bridge. <br>•Minimize the number of walls and ceilings between your Arlo Security Light and Arlo Bridge.<br>•Power cycle your Arlo Security Light:<br>    1. Disconnect your Arlo Security Light’s AC adapter and remove the battery.<br>    2. Wait at least 20 seconds.<br>    3. Plug the light back in or reinsert the battery.<br>•Make sure that your Arlo Bridge is online. <br><br>You may use this link as a reference: https://kb.arlo.com/000062031/My-Arlo-Security-Light-is-offline-what-do-I-do<br><br>
62,181875,BATTERY ISSUE:,"  •What iare the Serial no. of the device?<br>  •What was the LED behavior of the camera?<br>  •When charging, are you using the Arlo supplied adapter?<br>  •Was the charger used when charging was the one supplied by Arlo?<br>  •Is the USB cable fully inserted into the USB adapter?<br>  • Was the battery inserted correctly?<br><br>To isolate if this issue was pertaining to the battery:<br><br> 1. Remove the battery from your camera.<br> 2. If your camera is plugged in, unplug your camera’s AC power adapter cable.<br> 3. Plug your camera back into the AC adapter that came with the camera.<br>    Note: Make sure that you are using the power adapter and adapter cable that came with your camera. A regular 5V          USB cable cannot provide enough power to charge your camera’s battery properly.<br> 4. Reinsert the camera battery.<br> 5. After ten minutes, check your camera’s status in the Arlo app or at my.arlo.com.<br>    If you see a lightning bolt battery icon, your battery is charging. If you do not see a lightning bolt icon, continue to step 6.<br>  6. Remove and reinsert the camera battery, then wait ten minutes and check your camera’s status in the Arlo app again.<br>  7. Repeat step 6 until you see a lightning bolt battery icon in the Arlo app.<br><br>You may use this link as a reference: https://kb.arlo.com/000052305/My-Arlo-Pro-or-Arlo-Pro-2-battery-is-dead-what-do-I-do<br><br>"
63,181875,MOTION DETECTION:,•Serial no.of the camera?<br>•Is the camera part of a kit or an add-on camera?<br>•How high did the camera was mounted above the ground?<br>•What is the distance of the camera from the base station?<br>•Are there any walls between the camera and base station?<br>•Are there any obstructions within the camera’s motion detection angle/range?<br>•What is the camera position/placement? <br>•Does manual recording work as expected?<br>•Are you able to stream the camera?<br><br>You may also go to this link for future reference: https://kb.arlo.com/994085/Why-isn-t-my-Arlo-camera-detecting-motion<br><br>
64,181875,DUPLICATE EMAIL:,"Hi Daniel,<br><br> <br>This email is to acknowledge your case submission. However, please know that this case is a duplicate of your existing case which is Case ID:41423839. With this, kindly post your replies to your existing case as this case will no longer be attended to and will be closed.<br><br>To contact us back, you may go to this link for our various support channels:https://www.arlo.com/en-us/support/contact.aspx<br><br> <br>Sincerely,<br><br>Leigh<br>ARLO Support Expert<br>"
65,181875,REPLY FOR UNHAPPY CUSTOMER,"Hi,<br><br> <br>Good day!<br><br>Please be informed that we value your reaction and comments for our product and services. We will use this to improve them further and avoid inconvenience to our valued clients.<br><br> We will also be looking at your case with utmost urgency so we can swiftly act on the things we need to improve. Please be informed however that we do not offer refunds as we only provide technical assistance to our products.<br><br> If you wish to continue to troubleshoot this device, you may contact us through the support options provided in this link: https://www.arlo.com/en-us/support/contact.aspx<br><br> And for Arlo community site: https://community.arlo.com/t5/Arlo-Smart-Home-Security/ct-p/Arlo<br><br>Apologies for the inconvenience.<br><br> <br>Sincerely,<br>Leigh<br>ARLO Support Expert<br>"
66,181875,GRANT ACCESS,Grant access:<br><br>1. Log-in to your Arlo Main account<br>2. Check if the Grant access was enabled<br>3.  Double-check the permission on the main account <br>4.  Try to Log-in/Log-out to your Arlo Main account.<br><br>https://kb.arlo.com/1103229/What-privileges-do-my-friends-have-when-I-grant-them-access-rights-in-my-Arlo-account<br>
67,181875,RMA,<br>• Your contact information?<br>• Your product’s serial number?<br>• Proof of your purchase?<br>• Place and date of Purchase?<br>• Shipping address?<br><br>
68,181875,PINK TINT:,"For Camera that has tinted image:<br><br>1.Reset the camera by opening and closing the battery door while the camera is not plugged in<br>2. Camera firmware should be on latest version<br>3. Camera should be working following the correct specs(ie. Right temperature/humidity, swap camera around and check if the issue follows the camera)<br><br>https://kb.arlo.com/1273/Why-are-images-from-my-Arlo-camera-tinted<br><br>Camera Tinted:<br><br>• When was the  issue started?<br>• What was the temperature of the camera area?<br>---------------------<br><br>The following are the reasons why the issue occurred was due to:<br><br>• An outdated firmware.<br>• The temperature of the camera&apos;s location.<br><br>I would like to ask the following steps before we proceed:<br><br>• Is the camera located outside or inside?<br>• When did the issue start?<br>• What is the temperature of the camera&apos;s location?<br>• What is the serial number of the camera?<br>• Have you tried any steps prior to contacting us?<br><br>For the meantime, please do the following steps for isolation:<br><br>1. Remove the camera from your account and sync it back to the base station.<br>a. Go to Settings, My Devices, and select the problem camera. Press Remove Device.<br>b. Re-sync the camera with the base station. To do so, press the sync button on the base station once (just press then release right after). When the light starts to blink, press the sync button on the camera.<br>2. Once synced, swap the camera&apos;s location from the working one and observe it for a few days.<br>3. Send us a sample screenshot for us to check it.<br><br>Here is the KB article related to the issue: https://kb.arlo.com/1273/Why-are-images-from-my-Arlo-camera-tinted<br>"
69,181875,CREDIT CARD UPDATE:,"To update the payment method within your account using the web browser, Go to Arlo Log In > Settings > Subscription > you will see the card number in the following format **** **** **** **** > Click Update > From here you will see the Billing & Credit Card  information."
70,181875, BATTERY WONT CHARGE:,"1. Plug in the camera w/o battery<br>2. Remove the camera and sync while plug in<br>3. After syncing insert the battery<br>4. Check the led lights once the battery door will be close<br>5. Unplug the charger then replug<br>6. Log in your Arlo account<br>7. Check battery status if there is battery icon<br>8. If the issue was not resolved yet, try swapping battery with the camera that was working fine.<br><br>"
71,185928,Case Closed Follow Up - DAYS,"Hi ____,<br><br>It&apos;s been 6 days since I sent you the email and It seems like we did not receive any response from you and because of that, we will now set this case to close. No worries, we can still create a new ticket when you contact us back and relate to this same case number: _____ for future reference.  <br><br>Should you need further assistance, feel free to get in touch with us at Arlo Support. We are available 24/7 and will always ready to assist you.<br><br>You may also take advantage of the following support options for a faster resolution:<br><br>• Phone support: 408-638-3750<br>• Live chat support: http://www.arlo.com/en-us/support/contact.aspx<br>• Online Forum: community.arlo.com<br><br>For more information, you may visit us at Arlo.com and https://community.netgear.com/t5/Arlo/ct-p/Arlo.<br><br><br>Kind Regards, <br>Karen<br>Arlo  L1 Support Expert<br>Support Site: support.arlo.com<br>Community site: community.arlo.com"
72,185928,1st Case Follow Up,"Hi _____, <br><br>Thank you for contacting Arlo Technical Support. <br><br>This is a follow-up email to ask if everything is all set. This is for us to know if we can further take action on your case. If not, please provide us an update right away. A reply at your earliest convenience would be much appreciated. You may refer to this case number: _____. <br><br>We will be looking forward to you to respond to this email. Thank you so much! <br><br>You may also take advantage of the following support options for a faster resolution:<br><br>• Phone support: 408-638-3750<br>• Live chat support: http://www.arlo.com/en-us/support/contact.aspx<br>• Online Forum: community.arlo.com<br><br>For more information, you may visit us at Arlo.com and https://community.netgear.com/t5/Arlo/ct-p/Arlo.<br><br><br>Kind regards,<br>Karen<br>Arlo  L1 Support Expert<br>Support Site: support.arlo.com<br>Community site: community.arlo.com"
73,185928,2nd Case Follow Up,"Hi ________, <br><br>This is only a quick reminder with regard to your case with case number: _____. We would love to hear anything from you. Please be informed that if in the next 3 days there will be no response to this case, I&apos;m afraid the system will auto-close it. Make sure you use the link below for responses so that I will be notified of your reply. Also, don&apos;t hesitate to contact us back, we are open 24/7 if you need any assistance. <br><br>You may also take advantage of the following support options for a faster resolution:<br><br>• Phone support: 408-638-3750<br>• Live chat support: http://www.arlo.com/en-us/support/contact.aspx<br>• Online Forum: community.arlo.com<br><br>For more information, you may visit us at Arlo.com and https://community.netgear.com/t5/Arlo/ct-p/Arlo.<br><br>Kind Regards, <br>Karen<br>Arlo  L1 Support Expert<br>Support Site: support.arlo.com<br>Community site: community.arlo.com"
74,185928,3rd Case Follow Up,"Hi ____,<br><br>It seems like we did not receive any response from you and because of that, we will now set this case to close. No worries, we can still create a new ticket when you contact us back and relate to this same case number: _____ for future reference.  <br><br>Should you need further assistance, feel free to get in touch with us at Arlo Support. We are available 24/7 and will always ready to assist you.<br><br>You may also take advantage of the following support options for a faster resolution:<br><br>• Phone support: 408-638-3750<br>• Live chat support: http://www.arlo.com/en-us/support/contact.aspx<br>• Online Forum: community.arlo.com<br><br>For more information, you may visit us at Arlo.com and https://community.netgear.com/t5/Arlo/ct-p/Arlo.<br><br><br>Kind Regards, <br>Karen<br>Arlo  L1 Support Expert<br>Support Site: support.arlo.com<br>Community site: community.arlo.com"
76,181875,VIDEO RESOLUTION,"To change the video resolution:<br><br>1. Tap the Arlo icon on your mobile device.<br>•If you are using a computer, enter https://my.arlo.com/#/login in the address bar<br>of a browser.<br>•The Devices page displays.<br>2. Tap or click Settings.<br>•The Settings page displays.<br>3. Tap or click My Devices.<br>•A list of cameras displays.<br>4. Tap or click the camera.<br>•The settings for the camera display.<br>5. Tap or click Video Settings.<br>•The Video Settings page displays.<br>6. Tap or click Power Management.<br>•The Power Management page displays.<br>7. Select a setting:<br>• Best Video. This setting might reduce the battery life.<br>• Optimized. This setting balances video quality and battery life.<br>• Best Battery Life. This setting might reduce the video quality.<br>8. Tap or click Done.<br>Your settings are saved."
78,169545,Email Follow up,"Hi,<br><br>Good day!<br><br>I am doing a follow-up in relation to your open ticket. I would like to verify if the issue has been resolved after following the recommendation I have provided. If not, kindly respond so that we may continue with the case. <br><br>You may also contact us back through our various support channels which you can check on this link: https://www.arlo.com/en-us/support/contact.aspx<br><br>Please know that when your case gets inactive for 7 days or if we did not receive any updates on your end, we will have to close this case. However, you may still get back to us at your most convenient time and provide your case ID which is ( Case number ).<br><br>We hope to hear from you soon. Your response with a detailed result of the steps provided is much anticipated.<br><br><br>Sincerely,<br><br>Maria<br>ARLO Support Expert<br>Support Site - https://support.arlo.com<br>Community site - https://community.arlo.com"
79,169545,RMA-USA,"Hi, <br><br> <br>Thank you for contacting Arlo Email Support!<br><br>I have narrowed your case to what seems to be a hardware problem on the (Device Model number) with Serial Number( SN ).<br><br>                                                                           <br>A Return Merchandise Authorization (RMA) on the product has been initiated. You will receive a separate email containing a link to complete the RMA process. Please check your spam folder if you are unable to find the email for the RMA. To track your RMA status, please go to https://www.arlo.com/rma/rmacheck.aspx<br><br>Here is the RMA-(number). Please make sure not to include the accessories that came with the unit. Write the RMA number, your complete name and physical address on the box that you will use in shipping the unit back. Please also include a note inside the box that will have the same information.<br><br>For Standard Swap Exchange, you may send the faulty device first to the Warehouse, as soon as the fulfillment center receives the defective product, a replacement unit is shipped out in one business day via ground services. The following are the instructions:<br><br>• Return Address:<br>ARLO Returns <br>3605 Knight Road, Suite 101 <br>Memphis, TN 38118<br><br>• Put your RMA number (RMA number).<br>• DO NOT include accessories, power adapters, Ethernet cables, battery, etc. <br>• Please put your name, address, phone number and RMA inside the package.<br>• Please also write the RMA number clearly on the box itself.<br><br>You may receive a survey shortly after the case is closed. Please take a moment to provide us feedback on the support you have received. ARLO appreciates hearing from customers like you because we value your feedback as it will help us improve the quality of our products & services. <br><br>Again, thank you for choosing ARLO.<br><br> <br>We hope to hear from you soon.<br><br><br>Sincerely,<br><br>Maria<br>ARLO Support Expert<br>Support Site - https://support.arlo.com<br>Community site - https://community.arlo.com"
80,140567,RMA EMAIL,"Hi ,<br><br><br>I hope you are doing fine!<br><br>Thank you for your patience and for providing the necessary information for us to proceed with the next step. <br><br>I have initiated a Return Merchandise Authorization (RMA) on the product. Please select the shipping option that you want. Once the RMA is completed, the RMA details will be exported to our fulfillment center for shipment.  Please make sure not to include the accessories/batteries that came with the unit.<br><br>Write the RMA number XXXXX your complete name and physical address on the box that you will use in shipping the unit back. Please also include a note inside the box that will have the same information.<br><br>Our Fulfillment center address is (based on the region, delete others)<br><br>Tracelogix US <br>3605 Knight Road, Suite 101 Memphis, TN 38118<br><br>BrightStar Logistics Australia<br>Door 7 11-13 Ash Road, Prestons, NSW, 2170, Australia<br><br>BrightStar Logistics New Zealand<br>503 Mount Wellington Hwy, Auckland, New Zealand 1060<br><br>Anovo UK<br>71 Bilton Way Enfield, EN3 7EP<br> <br>Please do let me know if you need further assistance. Please be informed that when your case gets inactive for 7 days, we will have to close this case. I know that the issue might have not been resolved yet. However, you may still get back to us at your most convenient time and provide your case ID which is <<<CASE ID>>>.<br><br>For inquiries or other issues, we also have other support options available for you:<br><br>• Phone support: 408-638-3750<br>• Live chat support: visit http://www.arlo.com/en-US/support/contact.aspx and click on ""Start Chat"".<br>• Support Site: https://support.arlo.com<br>• Community site: https://community.arlo.com<br><br>Sincerely,<br><br>Kim<br>ARLO Support Expert"
81,140567,RMA COMPLETE EMAIL,"Hi Lauren,<br><br><br>I hope you are doing fine!<br><br>Thank you for responding through our email channel and for providing the necessary information for us to proceed with the next step. Please know that we will do our best to address your concern in the least amount of time.<br><br>Please be informed that I have initiated a Return Merchandise Authorization (RMA) on the defective device with RMA Number: 7121382. With this, you will receive an RMA confirmation email with a link wherein you can select the shipping option that you want. Once the RMA is completed, the RMA details will be exported to our Fulfillment Center for shipment.  Please make sure not to include the accessories/batteries that came with the unit.<br><br>Write the RMA number XXXXX your complete name and physical address on the box that you will use in shipping the unit back. Please also include a note inside the box that will have the same information.<br><br>Our Fulfillment center address is (based on the region, delete others)<br><br>Tracelogix US<br>3605 Knight Road, Suite 101 Memphis, TN 38118<br><br>BrightStar Logistics Australia<br>Door 7 11-13 Ash Road, Prestons, NSW, 2170, Australia<br><br>BrightStar Logistics New Zealand<br>503 Mount Wellington Hwy, Auckland, New Zealand 1060<br><br>Anovo UK<br>71 Bilton Way Enfield, EN3 7EP<br> <br>Please do let me know if you need further assistance. Please be informed that when your case gets inactive for 7 days, we will have to close this case. I know that the issue might have not been resolved yet. However, you may still get back to us at your most convenient time and provide your case ID which is <<<CASE ID>>>.<br><br>For inquiries or other issues, we also have other support options available for you:<br><br>• Phone support: 408-638-3750<br>• Live chat support: visit http://www.arlo.com/en-US/support/contact.aspx and click on ""Start Chat"".<br>• Support Site: https://support.arlo.com<br>• Community site: https://community.arlo.com<br><br>Sincerely,<br><br>Kim<br>ARLO Support Expert"
82,140567,HIPAA CASE ,"HIPAA CASE <br><br> Arlo has not been certified as HIPAA compliant by Netgear. Having said that, users video are secure – accessible only to users and shared users. Arlo does not archive videos after the subscription duration. It is a requirement of the Health Care identity to take responsibility to install Arlo to assure HIPAA compliance.<br>"
83,140567,PINK TINT EMAIL,"Hi Andrew,<br><br>I hope you are doing well!<br><br>Thank you for your prompt response through our email channel and for sending us an attachment. Upon checking, it seems that the camera has deemed defective after all the troubleshooting we&apos;ve done. Hence, we are going to process an RMA request for the affected camera. Thus, we would like to offer a shipping waive process for you to expedite shipment as a delivery option, and when shipping fee will be waived our system requires a credit card for the replacement process to go through. Your credit card will only be used as collateral for us to waive the shipping fee.<br><br>A $2.00 temporary authorization hold will be placed on your credit card. Any such charge will be removed automatically from your card account and will not need to be paid. These authorizations can have the temporary effect of reducing the available balance for the account, but they will automatically expire and drop off the account eventually. The duration for which an authorization remains on the account varies by issuing bank or card type, and cannot be controlled by ARLO.<br><br>Once our warehouse receives the defective device, the $2.00 temporary authorization hold will be credited back to your card. The only time that your credit card will be charged automatically if the unit is not returned on time (10 business days from the date that the replacement device is received). This fee is equivalent to the current listing price of the device. I can assure you that no money will be charged from your credit card. We apologize for this inconvenience and appreciate your feedback.<br><br>I would like to gather additional information so that we can proceed accordingly with your RMA request:<br><br>1. May I have your complete shipping address and the best callback number?<br>2. May I know your preferred time with your Time Zone for us to call you back for further details that we needed?<br><br>Please be informed that when your case gets inactive for 7 days, we will have to close this case. I know that the issue might have not been resolved yet. However, you may still get back to us at your most convenient time and provide your case ID which is 41426267.<br><br>For inquiries or other issues, we also have other support options available for you:<br><br>• Phone support: 408-638-3750<br>• Live chat support: visit http://www.arlo.com/en-US/support/contact.aspx and click on ""Start Chat"".<br>• Support Site - https://support.arlo.com<br>• Community site - https://community.arlo.com<br><br>Sincerely,<br><br>Kim<br>ARLO Support Expert<br><br>*********************PINK TINT PROBING QUESTIONS********************<br><br>• What is the temperature in the location of the affected camera?<br>• Have you tried changing the location of the affected camera? If not, please do<br>so.<br>• Did you remove the camera from the App before re-syncing it?"
